id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Dust & Gravel,The Hollow Pines,country,melancholic,0.52,96,0.38,0.55,0.94
12,Block Party Heat,Crate Kings,hip-hop,upbeat,0.85,102,0.78,0.91,0.08
13,Cathedral Echo,Vesper Choir,classical,peaceful,0.22,58,0.74,0.18,0.98
14,Iron Curtain,Redline Riot,metal,angry,0.97,168,0.21,0.44,0.03
15,Golden Hour Drift,Sable Fox,r&b,nostalgic,0.61,88,0.72,0.67,0.45
16,Tide Pool Morning,The Fernways,folk,serene,0.31,70,0.80,0.38,0.96
17,Neon Carnival,Bass Ritual,electronic,euphoric,0.89,140,0.88,0.95,0.04
18,Rainy Season,Mara Voss,blues,sad,0.44,66,0.29,0.42,0.82
